Album,Studio albums (EAS),Other LPs (EAS),Physical singles (units sold),Digital singles (units sold),Streams,Streams increase,Total EAS
The College Dropout,"6,222,000","180,000","100,000","1,434,000","2,764,000","Av.: 1,890","10,330,000"
Late Registration,"5,493,000","79,000","103,000","2,229,000","3,085,000","Av.: 1,720","10,887,000"
Graduation,"4,164,000","74,000","49,000","3,582,000","7,522,000","Av.: 6,340","15,316,000"
808s & Heartbreak,"2,979,000","10,000","10,000","2,428,000","2,799,000","Av.: 2,120","8,174,000"
My Beautiful Dark Twisted Fantasy,"2,738,000",0,"6,000","1,768,000","5,298,000","Av.: 3,220","9,657,000"
Watch the Throne,"2,819,000",0,0,"2,114,000","3,877,000","Av.: 2,310","8,767,000"
Yeezus,"1,320,000",0,0,"414,000","3,138,000","Av.: 1,770","4,846,000"
The Life of Pablo,"60,000",0,0,"130,000","6,433,000","Av.: 3,000","6,622,000"
Ye,"320,000",0,0,"36,000","2,747,000","Av.: 1,660","3,078,000"
Kids See Ghosts,"474,000",0,0,"13,000","1,312,000",Av.: 400,"1,730,000"
Jesus Is King,"260,000",0,0,"23,000","1,576,000",Av.: 660,"1,837,000"
Donda,"185,000",0,0,"10,000","3,966,000","Av.: 1,930","4,140,000"
VULTURES 1,0,0,0,0,"932,000",Av.: 0,"932,000"
Orphan,0,"397,000","7,000","3,605,000","7,477,000",N/A,"11,478,000"
Features,0,"1,000","107,000","7,138,000","2,763,000",N/A,"5,738,000"
